CBO 94 Ocupação;CBO 02;nomenclatura;POTECoriginal;potec;Potec Grupo
03442;313210;Tecnico de manuten|`o eletronica (Circuitos com maquinas com comando numerico);Demais Ocupações;Demais Ocupações;Técnicos
03445;313315;Técnico de manutenção de equipamento  de comutação telefônica;Demais Ocupações;Demais Ocupações;Técnicos
03447;313320;Técnico de manutenção de equipamento  de transmissão;Demais Ocupações;Demais Ocupações;Técnicos
03450;313315;Técnico de telefonia;Demais Ocupações;Demais Ocupações;Técnicos
03455;313320;Técnico de transmissão;Demais Ocupações;Demais Ocupações;Técnicos
03460;313315;Técnico de manipulação de tráfego telefônico;Demais Ocupações;Demais Ocupações;Técnicos
03475;313315;Inspetor  de centrais  privadas de comutação telefônica;Demais Ocupações;Demais Ocupações;Técnicos
03482;313315;Analisador de tráfego telefônico;Demais Ocupações;Demais Ocupações;Técnicos
03490;213310;Outros  técnicos de eletricidade, eletrônica e telecomunicações;Físicos, químicos e afins;Físicos, químicos e afins;Profissionais Científicos
03510;314110;Técnico mecânico, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03530;314310;Técnico mecânico (aeronaves);Demais Ocupações;Demais Ocupações;Demais Ocupações
03540;314305;Técnico mecânico (veículos automotores);Demais Ocupações;Demais Ocupações;Demais Ocupações
03550;314115;Técnico mecânico (calefação, ventilação e refrigeração);Demais Ocupações;Demais Ocupações;Técnicos
03560;314315;Técnico mecânico (embarcações);Demais Ocupações;Demais Ocupações;Demais Ocupações
03570;314125;Técnico mecânico (motores);Demais Ocupações;Demais Ocupações;Técnicos
03575;314120;Técnico mecânico (máquinas);Demais Ocupações;Demais Ocupações;Técnicos
03590;300305;Outros técnicos de mecânica;Demais Ocupações;Demais Ocupações;Técnicos
03605;311105;Técnico químico, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03615;301115;Técnico de laboratório de análises físico-químicas (petróleo);Demais Ocupações;Demais Ocupações;Técnicos
03620;311205;Técnico químico (petroquímica);Demais Ocupações;Demais Ocupações;Técnicos
03630;301110;Técnico de laboratório de análises físico-químicas (materiais    de construção);Demais Ocupações;Demais Ocupações;Técnicos
03640;301105;Laboratorista industrial;Demais Ocupações;Demais Ocupações;Técnicos
03650;325115;Técnico em farmácia;Demais Ocupações;Demais Ocupações;Técnicos
03690;301105;Outros  técnicos  de química e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Técnicos
03710;311605;Técnico têxtil, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03720;311615;Técnico têxtil (fiação);Demais Ocupações;Demais Ocupações;Técnicos
03730;311625;Técnico têxtil (tecelagem);Demais Ocupações;Demais Ocupações;Técnicos
03740;311610;Técnico têxtil (tratamentos químicos);Demais Ocupações;Demais Ocupações;Técnicos
03750;311620;Técnico têxtil (malharia);Demais Ocupações;Demais Ocupações;Técnicos
03790;301105;Outros técnicos têxteis;Demais Ocupações;Demais Ocupações;Técnicos
03805;318005;Desenhista técnico, em geral;Demais Ocupações;Demais Ocupações;Técnicos
03810;318430;Desenhista Técnico Industrial;Demais Ocupações;Demais Ocupações;Técnicos
03820;318205;Desenhista técnico (mecânica);Demais Ocupações;Demais Ocupações;Técnicos
03825;318310;Desenhista  técnico (calefação,ventilação e refrigeração);Demais Ocupações;Demais Ocupações;Técnicos
03830;318305;Desenhista técnico (eletricidade e eletrônica);Demais Ocupações;Demais Ocupações;Técnicos
03835;318115;Desenhista técnico (construção civil);Demais Ocupações;Demais Ocupações;Técnicos
03840;318420;Desenhista técnico (indústria têxtil);Demais Ocupações;Demais Ocupações;Técnicos
03845;318105;Desenhista técnico (arquitetura);Demais Ocupações;Demais Ocupações;Técnicos
03850;318215;Desenhista técnico (construção naval);Demais Ocupações;Demais Ocupações;Técnicos
03855;318110;Desenhista técnico (cartografia);Demais Ocupações;Demais Ocupações;Técnicos
03860;318415;Desenhista técnico (ilustrações técnicas);Demais Ocupações;Demais Ocupações;Técnicos
03865;318425;Desenhista técnico (mobiliário);Demais Ocupações;Demais Ocupações;Técnicos
03870;318405;Desenhista técnico (artes gráficas);Demais Ocupações;Demais Ocupações;Técnicos
03875;318120;Desenhista técnico (instalações hidrossanitárias);Demais Ocupações;Demais Ocupações;Técnicos
03880;318210;Desenhista técnico (construção de aeronaves);Demais Ocupações;Demais Ocupações;Técnicos
03883;318015;Desenhista projetista;Demais Ocupações;Demais Ocupações;Técnicos
03884;318410;Desenhista de ilustração;Demais Ocupações;Demais Ocupações;Técnicos
03885;318015;Desenhista detalhista;Demais Ocupações;Demais Ocupações;Técnicos
03887;318010;Desenhista copista;Demais Ocupações;Demais Ocupações;Técnicos
03890;312305;Outros desenhistas técnicos;Demais Ocupações;Demais Ocupações;Técnicos
03930;391105;Cronoanalista;Demais Ocupações;Demais Ocupações;Demais Ocupações
03935;391125;Técnico de planejamento de produção;Demais Ocupações;Demais Ocupações;Demais Ocupações
03937;391220;Técnico de painel de controle;Demais Ocupações;Demais Ocupações;Demais Ocupações
03940;391110;Cronometrista;Demais Ocupações;Demais Ocupações;Demais Ocupações
03945;351605;Técnico de segurança do trabalho;Demais Ocupações;Demais Ocupações;Demais Ocupações
03948;342120;Técnico de servico de apoio;Demais Ocupações;Demais Ocupações;Demais Ocupações
03950;311510;Técnico de meteorologia;Demais Ocupações;Demais Ocupações;Técnicos
03960;311305;Técnico de cerâmica e vidros;Demais Ocupações;Demais Ocupações;Técnicos
03965;311515;Técnico  de utilidade  (produção e distribuição de vapor, gases, óleos, combustíveis, energia, oxigê;Demais Ocupações;Demais Ocupações;Técnicos
03970;311110;Técnico de celulose e papel;Demais Ocupações;Demais Ocupações;Técnicos
03975;351715;Inspetor de produção;Demais Ocupações;Demais Ocupações;Demais Ocupações
03980;325205;Técnico de alimentos;Demais Ocupações;Demais Ocupações;Técnicos
03982;371305;Técnico de microfilmagem;Demais Ocupações;Demais Ocupações;Demais Ocupações
03983;371310;Técnico gráfico;Demais Ocupações;Demais Ocupações;Demais Ocupações
03984;371305;Técnico em programação visual;Demais Ocupações;Demais Ocupações;Demais Ocupações
03985;391205;Inspetor de qualidade;Demais Ocupações;Demais Ocupações;Demais Ocupações
03987;351725;Inspetor de risco;Demais Ocupações;Demais Ocupações;Demais Ocupações
03988;300305;Técnico eletromecânico;Demais Ocupações;Demais Ocupações;Técnicos
03989;391135;Técnico de matéria-prima e material;Demais Ocupações;Demais Ocupações;Demais Ocupações
03990;141420;Outros  técnicos  e  trabalhadores  assemelhados não-classificados sobre outras epígrafes;Demais Ocupações;Demais Ocupações;Demais Ocupações
04120;215305;Piloto comercial (linhas aéreas);Demais Ocupações;Demais Ocupações;Demais Ocupações
04130;341105;Piloto comercial (exceto linhas aéreas);Demais Ocupações;Demais Ocupações;Demais Ocupações
04135;215305;Piloto de helicóptero;Demais Ocupações;Demais Ocupações;Demais Ocupações
04140;215305;Navegador de aeronave;Demais Ocupações;Demais Ocupações;Demais Ocupações
04150;341115;Mecânico de vôo;Demais Ocupações;Demais Ocupações;Demais Ocupações
04160;215315;Instrutor de vôo;Demais Ocupações;Demais Ocupações;Demais Ocupações
04170;215310;Piloto de provas (aviação);Demais Ocupações;Demais Ocupações;Demais Ocupações
04190;215305;Outros  pilotos de aviação comercial, navegadores, mecânicos de vôo e trabalhadores assemelhados;Demais Ocupações;Demais Ocupações;Demais Ocupações
04215;215115;Comandante de embarcações (navegação marítima);Demais Ocupações;Demais Ocupações;Demais Ocupações
04220;215115;Comandante de embarcação (navegação interior);Demais Ocupações;Demais Ocupações;Demais Ocupações
04230;215115;Oficial de navegação marítima e interior;Demais Ocupações;Demais Ocupações;Demais Ocupações
04240;341215;Piloto-prático de navegação marítima e interior;Demais Ocupações;Demais Ocupações;Demais Ocupações
04250;215220;Superintendente   de  aprovisionamento  (navegação marítima e interior);Demais Ocupações;Demais Ocupações;Demais Ocupações
04290;215105;Outros oficiais de bordo, pilotos e trabalhadores assemelhados (navegação marítima e interior);Demais Ocupações;Demais Ocupações;Demais Ocupações
