CBO Ocupação 2002;potec
314605;Demais Ocupações
314610;Demais Ocupações
314615;Demais Ocupações
314620;Demais Ocupações
314625;Demais Ocupações
314705;Demais Ocupações
314710;Demais Ocupações
314715;Demais Ocupações
314720;Demais Ocupações
314725;Demais Ocupações
314730;Demais Ocupações
316105;Demais Ocupações
316110;Demais Ocupações
316115;Demais Ocupações
316120;Demais Ocupações
316305;Demais Ocupações
316310;Demais Ocupações
316315;Demais Ocupações
316320;Demais Ocupações
316325;Demais Ocupações
316330;Demais Ocupações
316335;Demais Ocupações
316340;Demais Ocupações
317105;Demais Ocupações
317110;Demais Ocupações
317115;Demais Ocupações
317120;Demais Ocupações
317205;Demais Ocupações
317210;Demais Ocupações
318005;Demais Ocupações
318010;Demais Ocupações
318015;Demais Ocupações
318105;Demais Ocupações
318110;Demais Ocupações
318115;Demais Ocupações
318120;Demais Ocupações
318205;Demais Ocupações
318210;Demais Ocupações
318215;Demais Ocupações
318305;Demais Ocupações
318310;Demais Ocupações
318405;Demais Ocupações
318410;Demais Ocupações
318415;Demais Ocupações
318420;Demais Ocupações
318425;Demais Ocupações
318430;Demais Ocupações
318505;Demais Ocupações
318510;Demais Ocupações
318605;Demais Ocupações
318610;Demais Ocupações
318705;Demais Ocupações
318710;Demais Ocupações
318805;Demais Ocupações
318810;Demais Ocupações
318815;Demais Ocupações
319105;Demais Ocupações
319110;Demais Ocupações
319205;Demais Ocupações
320105;Demais Ocupações
320110;Demais Ocupações
321105;Demais Ocupações
321110;Demais Ocupações
321205;Demais Ocupações
321210;Demais Ocupações
321305;Demais Ocupações
321310;Demais Ocupações
321315;Demais Ocupações
321320;Demais Ocupações
322105;Demais Ocupações
322110;Demais Ocupações
322115;Demais Ocupações
322120;Demais Ocupações
322125;Demais Ocupações
322130;Demais Ocupações
322135;Demais Ocupações
322205;Demais Ocupações
322210;Demais Ocupações
322215;Demais Ocupações
322220;Demais Ocupações
322225;Demais Ocupações
322230;Demais Ocupações
322235;Demais Ocupações
322240;Demais Ocupações
322245;Demais Ocupações
322250;Demais Ocupações
322305;Demais Ocupações
322405;Demais Ocupações
322410;Demais Ocupações
322415;Demais Ocupações
322420;Demais Ocupações
322425;Demais Ocupações
322430;Demais Ocupações
322505;Demais Ocupações
322605;Demais Ocupações
323105;Demais Ocupações
324105;Demais Ocupações
324110;Demais Ocupações
324115;Demais Ocupações
324120;Demais Ocupações
324125;Demais Ocupações
324130;Demais Ocupações
324205;Demais Ocupações
324210;Demais Ocupações
324215;Demais Ocupações
324220;Demais Ocupações
325005;Demais Ocupações
325010;Demais Ocupações
325015;Demais Ocupações
325105;Demais Ocupações
325110;Demais Ocupações
